"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","abund_value","abund_unit","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments"
"839086","occ","22623","","93141","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","31458","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-106.883331","34.883331","US","New Mexico","Bernalillo","stated in text","minutes","outcrop","""8 miles west of Isleta, Bernalillo County, New Mexico, N1/2sec. 31, T. 8 N., R. 1 E., N.M.P.M"" in a ""cave chamber measuring some 20 meters in its greatest dimension north to south... Isleta 2, about a quarter mile south of Isleta 1 is a flask-shaped chamber, averaging 25 feet in diameter"""
"839107","occ","","","93143","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","31473","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-98.255836","30.265278","US","Texas","Travis","based on nearby landmark","seconds","outcrop","from the larger of two excavations areas ""at 301 Congress Avenue in the main business district of Austin"""
"839976","occ","","","93181","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","31486","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-108.199997","44.983334","US","Wyoming","Big Horn","stated in text","minutes","outcrop","""NW 1/4, SE 1/4, sec #28, T58N, R94W... a 26 m deep sinkhole"" with a ""4.6 m-diameter"" at an elevation of 1300 m according to Wang and Martin 1993 (but NW 1/4 SW 1/4 at an elevation of 1510 m according to Martin et al. 1977)"
"840124","occ","","","93182","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","31487","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-112.583336","44.633331","US","Montana","Beaverhead","based on nearby landmark","minutes","small collection","coordinate based on Lima"
"841165","occ","","","93246","Parelephas columbi","species","49983","recombined as","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","31522","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-103.199997","32.116669","US","New Mexico","Lea","based on nearby landmark","minutes","small collection","""south of Jal"" (basis of coordinate)"
"841190","occ","22671","","74235","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","31458","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-122.233330","40.916668","US","California","Shasta","based on nearby landmark","minutes","outcrop","""on the east bank of the McCould River and about sixteen miles above its mouth"" (coordinate based on Samwell Cave) with the main fossiliferous deposit being found in ""a vertical fissure about thirty feet high"" that ""extends twenty feet"" and ""slopes down to the floor of the main chamber"""
"841223","occ","","","93251","Elephas columbi ?","species","46017","recombined as","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","31525","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-120.500000","43.333332","US","Oregon","Lake","stated in text","minutes","outcrop","""in south-central Oregon in longitude 120º 30' West and latitude of 43º 20' North"" (consistent with GNIS data)"
"841320","occ","","","93266","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","3869","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-111.916664","40.458332","US","Utah","Salt Lake","stated in text","seconds","small collection","""SW1/4, NE1/4, Sec. 23, T4S, R1W... at 111º55'W longitude, 40º27'30""N latitude"""
"841369","occ","","","93275","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","31540","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-110.116669","31.416668","US","Arizona","Cochise","stated in text","minutes","small collection","""T23S, R22E, Sec. 21, n1/2 nw1/4 nw1/4 nw1/4... 0.4 miles west of the present channel of the San Pedro River, on a small tributary entrenched by arroyo cutting... the area... was about 11 m. back into the bank and 17 m. along the face"""
"841751","occ","","","93333","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","31579","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-103.466667","43.433334","US","South Dakota","Fall River","based on nearby landmark","minutes","outcrop","within the town of Hot Springs (basis of coordinate)"
"841774","occ","","","93339","Mammuthus primigenius","species","47880","","Mammuthus primigenius","species","46027","Late Pleistocene","","0.126","0.0117","31581","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-151.000000","65.349998","US","Alaska","","based on nearby landmark","minutes","small collection","""along the Porcupine River in northeastern Alaska... in the Lower Rampart region"" apparently close to ""Rampart canyon... 25 m above a scoured late-Pleistocene coulee, and ca. 45 m above the base level of the Porcupine River"" (coordinate based on Rampart Gorge)"
"841783","occ","","","93341","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","31583","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-154.899994","69.683334","US","Alaska","","stated in text","minutes","small collection","""from a point bar on the Ikpikpuk River, Alaska (69º41'N, 154º54'W)"""
"841976","occ","22697","","93376","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Late Pleistocene","Holocene","0.126","0","31458","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-106.400002","35.258331","US","New Mexico","Sandoval","stated in text","seconds","outcrop","""35º15'30""N, 106º24'W... [a] natural solution tunnel 138 meters long and 2 to 4 meters in diameter [in] the Magdalena limestone of Pennsylvanian age. The mouth is in a nearly vertical cliff some 100 meters above the floor of Las Huertas Canyon in the Sandia Mountains"" (Haynes and Agogino 1986)"
"841983","occ","22696","","93377","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Late Pleistocene","Holocene","0.126","0","31458","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-106.400002","35.258331","US","New Mexico","Sandoval","stated in text","seconds","outcrop","""35º15'30""N, 106º24'W... [a] natural solution tunnel 138 meters long and 2 to 4 meters in diameter [in] the Magdalena limestone of Pennsylvanian age. The mouth is in a nearly vertical cliff some 100 meters above the floor of Las Huertas Canyon in the Sandia Mountains"" (Haynes and Agogino 1986)"
"842273","occ","22710","","93483","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","31458","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-122.500000","37.666668","US","California","San Mateo","based on nearby landmark","minutes","outcrop","""in a fresh roadcut near San Francisco on California State Highway No. 1 where it skirts the ocean shore at the 200 foot contour line due east of Mussel Rock"" (coordinate based on Mussel Rock)"
"842403","occ","","","93502","Elephas columbi","species","46017","recombined as","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","31642","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-93.988052","43.559444","US","Minnesota","Faribault","estimated from map","seconds","","abutment of a bridge over a new dredge ditch that drains the area south of Blue Earth River, 8 miles SE of Blue Earth, 4 miles west of Frost"
"842404","occ","","","93504","Elephas columbi","species","46017","recombined as","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","31642","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-93.206390","43.758888","US","Minnesota","Freeborn","estimated from map","seconds","","coordinates are for Hollandale"
"842405","occ","","","93505","Elephas columbi","species","46017","recombined as","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","31642","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-92.985558","44.272221","US","Minnesota","Goodhue","estimated from map","seconds","",""
"842406","occ","","","93506","Elephas columbi","species","46017","recombined as","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","31642","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-92.536942","44.566113","US","Minnesota","Goodhue","estimated from map","seconds","",""
"842421","occ","","","93508","Elephas columbi","species","46017","recombined as","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","31642","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-94.194443","46.357224","US","Minnesota","Crow Wing","estimated from map","seconds","",""
"842422","occ","","","93509","Elephas columbi","species","46017","recombined as","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","31642","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-93.321114","44.960278","US","Minnesota","Hennepin","estimated from map","seconds","",""
"842423","occ","","","93510","Elephas columbi","species","46017","recombined as","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","31642","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-92.853333","44.726944","US","Minnesota","Dakota","estimated from map","seconds","",""
"842424","occ","","","93511","Elephas columbi","species","46017","recombined as","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","31642","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-93.926666","43.586388","US","Minnesota","Faribault","based on political unit","seconds","",""
"842425","occ","","","93512","Elephas columbi","species","46017","recombined as","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","31642","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-93.093613","44.943611","US","Minnesota","Ramsey","based on political unit","seconds","",""
"842426","occ","","","93513","Elephas columbi","species","46017","recombined as","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","31642","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-93.362503","43.648609","US","Minnesota","Freeborn","based on political unit","seconds","",""
"842427","occ","","","93514","Elephas columbi","species","46017","recombined as","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","31642","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-95.948059","44.318890","US","Minnesota","Lyon","based on political unit","seconds","",""
"842428","occ","","","93515","Elephas columbi","species","46017","recombined as","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","31642","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-93.143608","44.640278","US","Minnesota","Dakota","estimated from map","seconds","",""
"842840","occ","","","93555","Mammuthus primigenius","species","47880","","Mammuthus primigenius","species","46027","Late Pleistocene","","0.126","0.0117","31685","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-141.876663","64.053329","US","Alaska","","stated in text","seconds","small collection","""near Mile 69 on the Taylor Highway (64º03.2'N, 141º52.6'W)... a sluice pond [is] directly upstream from the excavated area from which the fossils reported here were collected"""
"842869","occ","","","93557","Elephas columbi","species","46017","recombined as","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","31687","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-97.900002","36.116669","US","Oklahoma","Kingfisher","based on nearby landmark","minutes","small collection",":""eight miles west"" of Hennessey (Cope 1894: coordinate based on Hennessey)"
"843028","occ","","","93599","Mammuthus (Parelephas) columbi","species","119566","recombined as","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","31714","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-110.166664","31.549999","US","Arizona","Cochise","stated in text","minutes","small collection","""northwest quarter of Section 1, T. 22 S., R. 21 E... on the north bank of Horsethief Draw... An area of 124 square meters was opened up"""
"843198","occ","","","93639","Mammuthus (Archidiskodon) imperator","species","119568","subjective synonym of","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","24034","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-99.699997","19.566668","MX","Mexico","","based on nearby landmark","minutes","small collection","""about 2 kilometers southwest of Tepexpan and west northwest of the village of Santa Isabel Iztapan"" (coordinate based on Tepexpan)"
"849601","occ","","","94425","Elephas primigenius","species","46027","recombined as","Mammuthus primigenius","species","46027","Late Pleistocene","","0.126","0.0117","32106","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-118.200836","33.733334","US","California","Los Angeles","based on nearby landmark","minutes","local area","Banks of San Pedro Bay in Long Beach California"
"849610","occ","","","94426","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","32107","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-82.080002","36.900833","US","Virginia","Russell","based on nearby landmark","seconds","local area","mouth of second order stream valley near north side base of Clinch Mountain"
"850787","occ","","","94578","Elephas primigenius","species","46027","recombined as","Mammuthus primigenius","species","46027","Pleistocene","","2.588","0.0117","32187","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-92.726387","41.741390","US","Iowa","Poweshiek","based on nearby landmark","seconds","small collection","Remains found within a half mile of Main St. and Fourth Ave.  20ft. below the surface."
"874102","occ","","","96899","Elephas columbi","species","46017","recombined as","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","33085","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-81.503891","31.221111","US","Georgia","Glynn","estimated from map","seconds","",""
"912924","occ","","","103358","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","34877","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","3","specimens","-81.769165","36.957500","US","Virginia","Smyth","stated in text","seconds","local area",""
"914544","occ","","","103794","Mammuthus primigenius","species","47880","","Mammuthus primigenius","species","46027","Late Pleistocene","","0.126","0.0117","34994","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-78.675552","38.594723","US","Virginia","Rockingham","estimated from map","seconds","",""
"915383","occ","","","104046","Elephas columbi","species","46017","recombined as","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","15425","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-81.003334","29.207500","US","Florida","Volusia","estimated from map","seconds","","20 miles south of St. Augustine"
"915713","occ","","","104758","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","34884","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-81.336098","37.097298","US","Virginia","Alleghany","based on nearby landmark","6","",""
"919551","occ","","","103358","Mammuthus primigenius","species","47880","","Mammuthus primigenius","species","46027","Late Pleistocene","","0.126","0.0117","25320","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-81.769165","36.957500","US","Virginia","Smyth","stated in text","seconds","local area",""
"919638","occ","","","104708","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","1461","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-77.795280","38.713333","US","Virginia","Fauquier","estimated from map","seconds","",""
"935460","occ","","","73726","Mammuthus primigenius","species","47880","","Mammuthus primigenius","species","46027","Late Pleistocene","","0.126","0.0117","35838","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-128.169449","70.583336","CA","Northwest Territories","","estimated from map","minutes","",""
"937257","occ","","","108264","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","35865","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-67.500000","42.133331","US","Maine","","stated in text","minutes","",""
"937258","occ","","","108265","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","35865","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-67.500000","41.916668","US","Massachusetts","","stated in text","minutes","",""
"937259","occ","","","108266","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","35865","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-67.500000","41.250000","US","Massachusetts","","stated in text","minutes","",""
"937260","occ","","","108267","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","35865","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-73.966667","39.866669","US","New Jersey","","stated in text","minutes","",""
"937261","occ","","","108268","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","35865","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-72.666664","39.583332","US","New Jersey","","stated in text","minutes","",""
"937262","occ","","","108269","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","35865","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-75.750000","37.500000","US","Virginia","","stated in text","minutes","",""
"937263","occ","","","108270","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","35865","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-75.000000","37.000000","US","Virginia","","stated in text","degrees","","coordinates are approximate"
"937264","occ","","","108271","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","35865","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-75.716667","37.000000","US","Virginia","","stated in text","degrees","","coordinates are approximate"
"937265","occ","","","108272","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","35865","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-75.033333","36.849998","US","Virginia","","stated in text","minutes","",""
"937266","occ","","","108273","Mammuthus sp.","genus","43266","","Mammuthus","genus","43266","Late Pleistocene","","0.126","0.0117","35865","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","2","specimens","-74.750000","36.766666","US","Virginia","","stated in text","minutes","","coordinates are approximate"
"939627","occ","","","20632","Parelephas (Elephas) columbi","species","49983","recombined as","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","35981","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-122.500000","53.000000","CA","British Columbia","","based on nearby landmark","1","","Bullion Mine, Cariboo District"
"939628","occ","","","108781","Parelephas (Elephas) aff. columbi","species","49983","recombined as","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","35981","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-119.629723","50.846111","CA","British Columbia","","estimated from map","seconds","","Between Squilax and Chum Lake, on the east side of Chum Creek"
"939629","occ","","","108782","Parelephas (Elephas) columbi","species","49983","recombined as","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","35981","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-123.347221","48.601665","CA","British Columbia","","estimated from map","seconds","","cliff on James Island"
"939630","occ","","","108783","Parelephas (Elephas) columbi","species","49983","recombined as","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","35981","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-123.294724","48.458611","CA","British Columbia","","estimated from map","seconds","",""
"939632","occ","","","108784","Parelephas (Elephas) columbi","species","49983","recombined as","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","35981","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-123.291115","48.472778","CA","British Columbia","","estimated from map","seconds","",""
"939635","occ","","","108785","Parelephas (Elephas) columbi","species","49983","recombined as","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","35981","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-123.326111","48.456669","CA","British Columbia","","estimated from map","seconds","",""
"939636","occ","","","108786","Parelephas (Elephas) columbi","species","49983","recombined as","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","35981","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-119.258614","50.946388","CA","British Columbia","","estimated from map","seconds","",""
"939638","occ","","","108787","Parelephas (Elephas) columbi","species","49983","recombined as","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","35981","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-122.760559","48.116943","US","Washington","Jefferson","estimated from map","seconds","",""
"939642","occ","","","20632","Mammonteus (Elephas) primigenius","species","47863","recombined as","Mammuthus primigenius","species","46027","Late Pleistocene","","0.126","0.0117","35981","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-122.500000","53.000000","CA","British Columbia","","based on nearby landmark","1","","Bullion Mine, Cariboo District"
"939647","occ","","","108789","Mammonteus (Elephas) primigenius","species","47863","recombined as","Mammuthus primigenius","species","46027","Pleistocene","","2.588","0.0117","35981","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","2","specimens","-147.716385","64.837776","US","Alaska","","estimated from map","seconds","",""
"939648","occ","","","108790","Mammonteus (Elephas) primigenius","species","47863","recombined as","Mammuthus primigenius","species","46027","Pleistocene","","2.588","0.0117","35981","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","2","specimens","-139.425003","64.052780","CA","Yukon","","estimated from map","seconds","",""
"939650","occ","","","108782","Archidiskodon (Elephas) imperator","species","44255","subjective synonym of","Mammuthus columbi","species","46017","Pleistocene","","2.588","0.0117","35981","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-123.347221","48.601665","CA","British Columbia","","estimated from map","seconds","","cliff on James Island"
"941872","occ","","","109026","Mammuthus cf. columbi","species","47873","","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","36062","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-113.633331","37.683334","US","Utah","Iron","stated in text","minutes","small collection","""section 3, T.36 S., R.16W.... two miles southeast of Beryl Junction in a gravel pit owned by Robert Holt"""
